ZIP_Code,Median_income,Population,TeslaCount,NonTeslaCount,Total_EVs,Tesla_Proportion_of_Evs,EV_per_1k_people
55001,130625,2995,34,84,118,0.288,39.4
55003,115781,4024,15,36,51,0.294,12.67
55005,109464,4927,10,25,35,0.286,7.1
55006,64167,3883,4,9,13,0.308,3.35
55007,66875,2272,0,5,5,0,2.2
55008,83209,16514,31,83,114,0.272,6.9
55009,89023,8252,11,36,47,0.234,5.7
55011,126957,10517,29,50,79,0.367,7.51
55012,93500,1948,6,9,15,0.4,7.7
55013,99898,6985,23,46,69,0.333,9.88
55014,98952,28603,134,193,327,0.41,11.43
55016,121295,38427,237,296,533,0.445,13.87
55017,78333,752,2,1,3,0.667,3.99
55018,91071,968,3,2,5,0.6,5.17
55019,112273,2168,2,17,19,0.105,8.76
55020,127159,4053,24,37,61,0.393,15.05
55021,70296,30636,43,118,161,0.267,5.26
55024,123582,35948,152,255,407,0.373,11.32
55025,95993,25784,99,152,251,0.394,9.73
55026,104688,399,0,3,3,0,7.52
55027,92857,3089,3,6,9,0.333,2.91
55029,75833,119,0,2,2,0,16.81
55030,76875,1323,1,1,2,0.5,1.51
55031,113654,1997,2,9,11,0.182,5.51
55032,106522,3619,5,10,15,0.333,4.14
55033,102026,29701,74,179,253,0.292,8.52
55037,61319,5057,3,12,15,0.2,2.97
55038,127194,23735,172,515,687,0.25,28.94
55040,88576,13941,18,54,72,0.25,5.16
55041,83673,7800,15,29,44,0.341,5.64
55042,154779,12044,210,268,478,0.439,39.69
55043,101754,3459,16,39,55,0.291,15.9
55044,140612,60446,690,847,1537,0.449,25.43
55045,110685,7804,23,51,74,0.311,9.48
55046,91982,6093,20,29,49,0.408,8.04
55047,100357,2491,34,73,107,0.318,42.95
55049,90700,2619,3,5,8,0.375,3.05
55051,71232,9858,5,18,23,0.217,2.33
55052,78375,1995,4,8,12,0.333,6.02
55053,107188,1079,3,6,9,0.333,8.34
55054,151845,2489,11,11,22,0.5,8.84
55055,63365,3797,24,41,65,0.369,17.12
55056,93601,14245,28,59,87,0.322,6.11
55057,97521,25519,79,298,377,0.21,14.77
55060,83848,29693,47,113,160,0.294,5.39
55063,74854,9236,9,42,51,0.176,5.52
55065,116500,1217,49,80,129,0.38,106
55066,70529,18732,24,134,158,0.152,8.43
55068,125271,31593,267,316,583,0.458,18.45
55069,75139,5630,10,9,19,0.526,3.37
55070,101925,8342,16,36,52,0.308,6.23
55071,98945,5827,13,15,28,0.464,4.81
55072,57500,4346,1,8,9,0.111,2.07
55073,130556,3532,17,36,53,0.321,15.01
55074,104545,2415,4,22,26,0.154,10.77
55075,84573,20749,38,88,126,0.302,6.07
55076,98026,21624,55,128,183,0.301,8.46
55077,108314,14258,144,212,356,0.404,24.97
55079,111484,8875,12,35,47,0.255,5.3
55080,100789,2768,6,12,18,0.333,6.5
55082,117538,36441,285,600,885,0.322,24.29
55084,90500,1777,2,11,13,0.154,7.32
55085,93333,412,0,1,1,0,2.43
55087,126364,326,0,2,2,0,6.13
55088,128958,1889,4,13,17,0.235,9
55089,105938,1849,6,22,28,0.214,15.14
55090,80179,450,3,2,5,0.6,11.11
55092,97241,10801,34,52,86,0.395,7.96
55101,72703,7788,35,103,138,0.254,17.72
55102,74143,20355,77,391,468,0.165,22.99
55103,47872,13874,18,72,90,0.2,6.49
55104,75038,45612,141,553,694,0.203,15.22
55105,108200,28812,198,656,854,0.232,29.64
